Name,Post-Review Decision,Source for Storage Data,Storage Data Type,Source_Name,Identifier,Historical API URL,Source for Capacity,Data Source Notes,Actions to Allow Inclusion,Total Capacity,Active Capacity,Preferred Label for Map and Table,Preferred Label for PopUp and Modal,Longitude,Latitude,huc6,doiRegion,state,Use Total or Active Storage
Abiquiu,Include if possible,USACE https://water.usace.army.mil/overview/spa/locations/abiquiu,Storage,USACE,spa/Abiquiu.Stor.Inst.15Minutes.0.DCP-rev,https://water.usace.army.mil/cda/reporting/providers/spa/timeseries?name=Abiquiu.Stor.Inst.15Minutes.0.DCP-rev&begin=1990-10-01T00:00:00.000Z&end=2020-10-01T00:00:00.000Z&format=csv,USACE https://w3.spa.usace.army.mil/wc/PertinentData/ Top of Reservoir Volume in Acre-Feet,"Daily data available in HDB and capacity data available here: https://w3.spa.usace.army.mil/wc/PertinentData/, https://water.usace.army.mil/overview/spa/locations/abiquiu",Use USACE data,"1,662,770",,Abiquiu,Abiquiu Reservoir (Abiquiu Dam),,,,,,Total
Agate,Include (Omit % Avg if needed),RISE,Storage,RISE,7166,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/7166?limit=50000&datetime=1990-10-01/2020-10-01&f=json,USBR Enterprise Asset Registry,,,4780,4670,Agate,Agate Reservoir (Agate Dam),,,,,,Active
Alcova,Include,RISE,Storage,RISE,259,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/259?limit=50000&datetime=1990-10-01/2020-10-01&f=json,USBR Enterprise Asset Registry,,,184405,30603,Alcova,Alcova Reservoir (Alcova Dam),,,,,,Total
Alfalfa Ditch Diversion Dam,Do Not Include,,Storage,0,--,,,,,,,,,,,,,,
Alice,Include,RISE,Storage,RISE,266,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/266?limit=50000&datetime=1990-10-01/2020-10-01&f=json,USBR Enterprise Asset Registry,,,11034,11034,Lake Alice,Lake Alice (Lake Alice Dams),,,,,,Total
Alice 2,Include,RISE,Storage,RISE,394,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/394?limit=50000&datetime=1990-10-01/2020-10-01&f=json,USBR Enterprise Asset Registry,,,1166,1143,Little Lake Alice,Little Lake Alice (Little Lake Alice Dam),,,,,,Total
Almena Diversion,Do Not Include,,Storage,0,--,,,"GP Hydromet - ALKS (no storage, gage height only)",,,,,,,,,,,
Altus,Include if possible,RISE (Pending),Storage,RISE (Pending),3640,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/3640?limit=50000&datetime=1990-10-01/2020-10-01&f=json,USBR Enterprise Asset Registry,GP Hydromet - ALTUS (has storage),Add Storage Data to RISE,147925,147387,Altus,Lake Altus (Altus Dam),,,,,,Total
American Falls,Include (Omit % Avg if needed),RISE,Storage,RISE,7167,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/7167?limit=50000&datetime=1990-10-01/2020-10-01&f=json,USBR Enterprise Asset Registry,,,1672590,1672590,American Falls,American Falls Reservoir (American Falls Dam),,,,,,Active
Anchor,Include,RISE,Storage,RISE,262,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/262?limit=50000&datetime=1990-10-01/2020-10-01&f=json,USBR Enterprise Asset Registry,,,17228,17162,Anchor,Anchor Reservoir (Anchor Dam),,,,,,Total
Anderson Ranch,Include (Omit % Avg if needed),RISE,Storage,RISE,3641,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/3641?limit=50000&datetime=1990-10-01/2020-10-01&f=json,USBR Enterprise Asset Registry,,,474942,413074,Anderson Ranch,Anderson Ranch Reservoir (Anderson Ranch Dam),,,,,,Active
Anderson-Rose Diversion,Do Not Include,,Storage,0,--,,,,,,,,,,,,,,
Angostura,Include,RISE,Storage,RISE,257,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/257?limit=50000&datetime=1990-10-01/2020-10-01&f=json,USBR Enterprise Asset Registry,,,123048,80843,Angostura,Angostura Reservoir (Angostura Dam),,,,,,Total
Angostura Diversion,Do Not Include,,Storage,0,--,,,,,,,,,,,,,,
Anita,Do Not Include,,Storage,0,--,,,,,,317,,,,,,,,
Apache,Do Not Include,,Storage,0,--,,,,,,,,,,,,,,
Arrowhead,Do Not Include,,Storage,0,3691,,,,,,,,,,,,,,
Arrowrock,Include (Omit % Avg if needed),RISE,Storage,RISE,3642,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/3642?limit=50000&datetime=1990-10-01/2020-10-01&f=json,USBR Enterprise Asset Registry,,,272224,271710,Arrowrock,Arrowrock Reservoir (Arrowrock Dam),,,,,,Active
Ashland Lateral Diversion,Do Not Include,,Storage,0,--,,,,,,,,,,,,,,
Atkinson Diversion Dam,Do Not Include,,Storage,0,--,,,,,,,,,,,,,,
Audobon,Do Not Include,,Storage,0,2,,,,,,,,,,,,,,
Avalon,Include,RISE,Storage,RISE,267,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/267?limit=50000&datetime=1990-10-01/2020-10-01&f=json,USBR Enterprise Asset Registry,,,4466,4466,Avalon,Avalon Reservoir (Avalon Dam),,,,,,Total
Banks,Include (Omit % Avg if needed),RISE,Storage,RISE,7264,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/7264?limit=50000&datetime=1990-10-01/2020-10-01&f=json,USBR Enterprise Asset Registry,,,1275000,715000,Banks Lake (Dry Falls Dam),Banks Lake (Dry Falls Dam),,,,,,Active
Barretts Diversion,Do Not Include,,Storage,0,--,,,,,,,,,,,,,,
Bartlett,Do Not Include,,Storage,0,--,,,,,,,,,,,,,,
Bartley Diversion,Do Not Include,,Storage,0,--,,,"GP Hydromet - BANE (canal gage, no storage, gage height only)",,,,,,,,,,,
Beaver Creek Diversion,Do Not Include,,Storage,0,--,,,,,,,,,,,,,,
