SiteName,Lat,Lon,State,DoiRegion,Huc6,DataUnits,DataValue,DataDate,DateQueried,DataDateMax,DataDateP90,DataDateP75,DataDateP50,DataDateP25,DataDateP10,DataDateMin,DataDateAvg,DataValuePctMdn,DataValuePctAvg,StatsPeriod,MaxCapacity,PctFull,TeacupUrl,DataUrl,Comment
Marys Lake (Marys Lake Dikes),40.3440796,-105.5343083,CO,Upper Colorado Basin,101900,af,623.889,02/03/2026,02/04/2026,835.598,819.9236,718.40225,659.023,622.4495000000001,559.1,490.75,672.9335833333333,0.9466877483790399,0.9271182408665145,10/1/1990 - 9/30/2020,927,0.6730194174757281,,,
Gray Reef Reservoir (Gray Reef Dam),42.5656,-106.6989,WY,Upper Colorado Basin,101800,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,1800,,,,
Spring Creek Reservoir (Spring Creek Debris Dam),40.629,-122.474,CA,California-Great Basin,180201,af,2854,02/03/2026,02/04/2026,5207.55,3082.2970000000005,1641.25,1457.205,986.25,863.8,738.3,1654.2376666666667,1.958543924842421,1.7252659986583951,10/1/1990 - 9/30/2020,5874,0.48586993530813755,,,
Angostura Reservoir (Angostura Dam),43.3433,-103.4383,SD,Missouri Basin,101201,af,70876.7,02/03/2026,02/04/2026,125099,118117,106063.25,99146.5,83146.85,62084.46,49284,93785.81333333334,0.7148684018094436,0.7557294379704336,10/1/1990 - 9/30/2020,123048,0.5760085495091346,,,
Alcova Reservoir (Alcova Dam),42.5489,-106.7206,WY,Upper Colorado Basin,101800,af,157758,02/03/2026,02/04/2026,157215,156946.3,156870.5,156459,156160.75,155941.7,145017,156082.33333333334,1.0083024945832455,1.0107357868817097,10/1/1990 - 9/30/2020,184405,0.8554974105908191,,,
Anchor Reservoir (Anchor Dam),43.6639,-108.8242,WY,Upper Colorado Basin,100800,af,576.396,02/03/2026,02/04/2026,744.411,483.7358,355.193,280.097,178.398,105.80000000000001,59,294.3356206896552,2.0578442468144966,1.958295087252612,10/1/1990 - 9/30/2020,17228,0.033456930578128624,,,
Lake Alice (Lake Alice Dams),41.9867,-103.6322,NE,Missouri Basin,101800,af,0,02/03/2026,02/04/2026,1783,950.1,671.5,251,34.25,0,0,395.2666666666667,0,0,10/1/1990 - 9/30/2020,11034,0,,,
Avalon Reservoir (Avalon Dam),32.4908,-104.2522,NM,Upper Colorado Basin,130600,af,2883,02/03/2026,02/04/2026,4830,3326.6000000000004,2874.25,2420,2180,22.500000000000007,0,2242.0666666666666,1.1913223140495868,1.285867205851744,10/1/1990 - 9/30/2020,4466,0.6455441110613525,,,
Box Butte Reservoir (Box Butte Dam),42.4583,-103.0667,NE,Missouri Basin,101500,af,10572,02/03/2026,02/04/2026,23346,16605.44,15542.9,11997,9246.5,6560.5560000000005,5039,12260.767037037038,0.881220305076269,0.8622625295843522,10/1/1990 - 9/30/2020,29161,0.3625390075786153,,,
Buffalo Bill Reservoir (Buffalo Bill Dam),44.5014,-109.1833,WY,Upper Colorado Basin,100800,af,392693,02/03/2026,02/04/2026,534581,487598.4,466592.25,446503,386562.25,276980.30000000005,170720,417726.86666666664,0.8794856921454055,0.9400712076136513,10/1/1990 - 9/30/2020,646565,0.6073527023578449,,,
