location_id,month,day,min,max,p10,p25,p50,p75,p90,mean,count,unit
259,1,1,146594,157351,155213.80000000002,155761.75,156290.5,156825.75,157136.3,155983.7,30,af
259,1,2,145880,157328,155330.3,155879.75,156335,156690.25,157043.1,155967.2,30,af
259,1,3,145642,157396,155489.5,156025.75,156425,156718,157063.80000000002,156051.46666666667,30,af
259,1,4,145168,157441,155552.59999999998,155941.75,156470.5,156729.75,157129.5,156048.53333333333,30,af
259,1,5,144974,157351,155119.69999999998,155969.75,156313,156853.5,157174.5,155990.46666666667,30,af
259,1,6,144974,157487,155343.8,156138.5,156324,156729.75,157179,156042.1,30,af
259,1,7,144952,157419,155635.3,156183.5,156470,156792,157271.3,156127.5,30,af
259,1,8,144888,157509,155901.30000000002,156138.25,156538,156865.25,157330.3,156164.63333333333,30,af
259,1,9,144952,157600,155764.1,156121.25,156380,156870.75,157377.6,156106,30,af
259,1,10,144995,157532,155519.2,156121.25,156335,156797.25,157362.30000000002,156072.86666666667,30,af
259,1,11,145082,157645,155460.8,156155,156324,156774.75,157373,156060.7,30,af
259,1,12,145125,157645,155516.59999999998,155885,156369,156724,157373,156014.93333333332,30,af
259,1,13,145125,157600,155397.8,155873.75,156369,156718,157310.5,155996.2,30,af
259,1,14,145189,157532,155451.3,155868.5,156335,156706.75,157283,156014.76666666666,30,af
259,1,15,145232,157419,155462.59999999998,155868.5,156335,156764,157262.3,155990.03333333333,30,af
259,1,16,145276,157373,155399.59999999998,155857,156369,156837,157308.2,155979.46666666667,30,af
259,1,17,145340,157351,155386.5,155890.75,156436.5,156842.25,157287.5,155993.53333333333,30,af
259,1,18,145362,157419,155451.3,155874.25,156515.5,156933,157183.59999999998,156033.4,30,af
259,1,19,145362,157396,155283.1,155873.75,156493,156864.75,157122.40000000002,156021.96666666667,30,af
259,1,20,145297,157396,155554.8,155908,156594.5,156819.75,157162.90000000002,156049.86666666667,30,af
259,1,21,145232,157306,155610.5,155829.25,156447.5,156836.5,157195.2,156031.03333333333,30,af
259,1,22,145232,157351,155622,156054.25,156459,156836.5,157217.3,156053.76666666666,30,af
259,1,23,145082,157351,155970.5,156239.75,156639.5,156706.75,157242.5,156158.96666666667,30,af
259,1,24,145146,157351,155867.5,156099.25,156526.5,156853.5,157095.8,156112.23333333334,30,af
259,1,25,145125,157328,155665,156025.75,156549,156814.25,157011.6,156079.96666666667,30,af
259,1,26,145060,157306,155545.8,156037,156492.5,156735.25,156991.80000000002,156039.46666666667,30,af
259,1,27,145039,157260,155892.2,156076.25,156470,156735.25,156951.30000000002,156080.7,30,af
259,1,28,144952,157306,155932.7,156155.5,156504,156706.75,157106.5,156109.33333333334,30,af
259,1,29,145017,157283,155541.3,156166.25,156515.5,156814.25,157131.8,156105.7,30,af
259,1,30,144995,157306,155474.4,156099.25,156357.5,156712.5,157016.5,156002.16666666666,30,af
259,1,31,144995,157260,155833.3,155964.25,156369,156769,156973.7,156023.06666666668,30,af
259,2,1,144995,157215,155431.5,155969.75,156414,156706.75,156928.7,155943.56666666668,30,af
