SiteName,Lat,Lon,State,DoiRegion,Huc6,DataUnits,DataValue,DataDate,DateQueried,DataDateMax,DataDateP90,DataDateP75,DataDateP50,DataDateP25,DataDateP10,DataDateMin,DataDateAvg,DataValuePctMdn,DataValuePctAvg,StatsPeriod,MaxCapacity,ActiveCapacity,PctFull,TeacupUrl,DataUrl,Comment
Marys Lake (Marys Lake Dikes),40.3440796,-105.5343083,CO,Upper Colorado Basin,101900,af,,,04/10/1997,898.569,805.3,726.38625,693.989,613.5,567.5199,319.248,673.7085,,,10/1/1990 - 9/30/2020,927,547,,,,
Gray Reef Reservoir (Gray Reef Dam),42.5656,-106.6989,WY,Upper Colorado Basin,101800,,,,04/10/1997,,,,,,,,,,,10/1/1990 - 9/30/2020,1800,1744,,,,
Spring Creek Reservoir (Spring Creek Debris Dam),40.629,-122.474,CA,California-Great Basin,180201,af,688.75,04/10/1997,04/10/1997,5702,2479.2640000000015,1877.5,1321.5,1004.75,865.89,688.75,1691.571333333333,0.5211880438895194,0.407165802841303,10/1/1990 - 9/30/2020,5874,5649,0.11725400068096696,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/6?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Angostura Reservoir (Angostura Dam),43.3433,-103.4383,SD,Missouri Basin,101201,af,129436,04/10/1997,04/10/1997,129848,129436,119680.25,113416.5,94870.65,67094.52,54398,105497.84666666666,1.141244880594975,1.226906558661513,10/1/1990 - 9/30/2020,123048,80843,1.0519146999544893,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/257?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Alcova Reservoir (Alcova Dam),42.5489,-106.7206,WY,Upper Colorado Basin,101800,af,166203,04/10/1997,04/10/1997,179620,169826.4,167836.75,166028,163378.5,162670.2,160949,166379.03333333333,1.0010540390777458,0.9989419740588308,10/1/1990 - 9/30/2020,184405,30603,0.9012933488788264,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/259?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Anchor Reservoir (Anchor Dam),43.6639,-108.8242,WY,Upper Colorado Basin,100800,af,548.491,04/10/1997,04/10/1997,1148.79,711.3460000000002,596.7985,414,316.32349999999997,278,108.803,476.6185,1.3248574879227053,1.1507967063804698,10/1/1990 - 9/30/2020,17228,17162,0.0318371836545159,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/262?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Lake Alice (Lake Alice Dams),41.9867,-103.6322,NE,Missouri Basin,101800,af,346,04/10/1997,04/10/1997,1580,810.1000000000001,392,81.5,14.5,0,0,295.0666666666667,4.245398773006135,1.1726163578852236,10/1/1990 - 9/30/2020,11034,11034,0.03135762189595795,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/266?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Avalon Reservoir (Avalon Dam),32.4908,-104.2522,NM,Upper Colorado Basin,130600,af,907,04/10/1997,04/10/1997,3720,2318.4000000000015,1535,1148.5,975,902.7,848,1474.5333333333333,0.7897257292120157,0.6151098652681074,10/1/1990 - 9/30/2020,4466,4466,0.203090013434841,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/267?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Box Butte Reservoir (Box Butte Dam),42.4583,-103.0667,NE,Missouri Basin,101500,af,18238.9,04/10/1997,04/10/1997,25648,20450.8,19929.9,16841,12445,9363.95,4943,16087.362,1.083005759752984,1.1337408830608773,10/1/1990 - 9/30/2020,29161,26769,0.6254552313020816,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/268?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Buffalo Bill Reservoir (Buffalo Bill Dam),44.5014,-109.1833,WY,Upper Colorado Basin,100800,af,379873,04/10/1997,04/10/1997,517303,480373.7,454507.25,422500,381365.25,290768.5,194344,405047.23333333334,0.8991076923076923,0.937848647610398,10/1/1990 - 9/30/2020,646565,604817,0.5875248428232274,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/269?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Lake Berryessa (Monticello Dam),38.513,-122.104,CA,California-Great Basin,180201,af,1591890,04/10/1997,04/10/1997,1639110,1611734,1593622.5,1459005,1229557.5,925521.1,632237,1358786.7333333334,1.091079194382473,1.1715525041187478,10/1/1990 - 9/30/2020,1602278,1591938,0.9935167305548726,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/272?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Belle Fourche Reservoir (Belle Fourche Dam),44.7367,-103.6742,SD,Missouri Basin,101202,af,173218,04/10/1997,04/10/1997,185777,181262.4,169155.25,155997,120737.5,81966.44,80332.7,143055.14666666667,1.1103931485861909,1.2108477327531313,10/1/1990 - 9/30/2020,172873,169790,1.0019956846933875,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/274?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Bighorn Lake (Yellowtail Dam),45.3072,-107.9569,MT,Missouri Basin,100800,af,768493,04/10/1997,04/10/1997,965242,881267.7000000001,839652.75,807107,769765.25,678935.6,622134,800460.2,0.9521575206261376,0.960063973199417,10/1/1990 - 9/30/2020,1263682,796209,0.6081379650893184,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/275?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Big Sandy Reservoir (Big Sandy Dam),42.26841,-109.43201,WY,Upper Colorado Basin,140401,af,28345,04/10/1997,04/10/1997,34159,28446.2,25774,20428,12344,9248.6,5906,19756.237931034484,1.3875562952809868,1.4347367195590253,10/1/1990 - 9/30/2020,38100,38300,0.7439632545931758,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/277?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Bull Lake (Bull Lake Dam),43.2097,-109.0417,WY,Upper Colorado Basin,100800,af,82348.8,04/10/1997,04/10/1997,106343,100579.2,95238.475,81892.6,59999.59999999999,54837.46000000001,28514.3,78629.53,1.0055707109067242,1.047301185699571,10/1/1990 - 9/30/2020,152459,151737,0.5401373484018654,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/278?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Boysen Reservoir (Boysen Dam),43.4,-108.1769,WY,Upper Colorado Basin,100800,af,484047,04/10/1997,04/10/1997,655463,627963.1,592332,570557.5,520405,449125.8000000001,326721,548322.7,0.8483754923912139,0.882777605231372,10/1/1990 - 9/30/2020,892226,673045,0.5425161338046638,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/281?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Brantley Reservoir (Brantley Dam),32.5442,-104.3814,NM,Upper Colorado Basin,130600,,,,04/10/1997,,,,,,,,,,,10/1/1990 - 9/30/2020,384035,382020,,,,
Caballo Reservoir (Caballo Dam),32.92443,-107.29932,NM,Upper Colorado Basin,130301,af,75210,04/10/1997,04/10/1997,187510,106339.00000000004,73256.5,51120,37683,28451.000000000004,10505,62338.96666666666,1.471244131455399,1.206468506322156,10/1/1990 - 9/30/2020,324509,324509,0.2317655288451168,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/286?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Calamus Reservoir (Virginia Smith Dam),41.8272,-99.2197,NE,Missouri Basin,102100,af,123096,04/10/1997,04/10/1997,134177,127730.2,126483.5,122645,120311.5,118443.2,113293,122972.60869565218,1.00367727995434,1.0010034047879166,10/1/1990 - 9/30/2020,119469,99319,1.0303593400798534,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/287?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Carter Lake Reservoir (Carter Lake Dams),40.3242,-105.2119,CO,Upper Colorado Basin,101900,af,64482.9,04/09/1997,04/10/1997,111933,111472,109887.5,106823,95549.85,73727.06,47143.2,97729.23913043478,0.6036424739990451,0.6598117469628265,10/1/1990 - 9/30/2020,112230,101022,0.5745602780005347,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/288?parameter-name=Storage&datetime=1997-04-09/1997-04-10&f=csv,
Causey Reservoir (Causey Dam),41.29828,-111.58591,UT,Upper Colorado Basin,160201,af,7111,04/07/1997,04/10/1997,7122,6658,5595,4291.5,2817.5,2176.5,1794.41,4248.707692307692,1.6569963882092509,1.6736853921192327,10/1/1990 - 9/30/2020,7870,6870,0.9035578144853876,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/289?parameter-name=Storage&datetime=1997-04-07/1997-04-08&f=csv,
Choke Canyon Reservoir (Choke Canyon Dam),28.4667,-98.1667,TX,Arkansas-Rio Grande-Texas Gulf,121101,af,172443,04/10/1997,04/10/1997,697101,695450.3999999999,568874,405919,264963,222420.6,172443,421980.5172413793,0.42482120817207375,0.4086515679143546,10/1/1990 - 9/30/2020,695271,694500,0.24802271344554855,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/291?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
